house_direction,property_legal_document,Đường,Tỉnh,Phường,price_per_m2,area,bedroom,toilet
Tây Nam,Sổ hồng riêng,Yên Viên,Hà Nội, Thị trấn Trâu Quỳ,32.63,48.0,1,1
Tây Nam,Sổ hồng riêng,Đường Huy Cận,Hồ Chí Minh, Phường Phước Long B (Quận 9 cũ),36.21,66.0,2,2
Bắc,Hợp đồng mua bán,15b,Hồ Chí Minh, Phường Phú Mỹ,20.59,85.0,2,2
Đông Nam,Đang chờ sổ,Đường Phan Văn Trị,Hồ Chí Minh, Phường 7,31.59,63.0,2,1
Bắc,Đang chờ sổ,Bình Trưng Tây,Hồ Chí Minh, Phường Bình Trưng Tây (Quận 2 cũ),40.12,81.0,2,0
Nam,Đang chờ sổ, Nguyễn Duy Trinh,Hồ Chí Minh, Phường Bình Trưng Tây (Quận 2 cũ),35.0,60.0,2,1
Nam,Hợp đồng mua bán,Bình Trưng Tây,Hồ Chí Minh, Phường Bình Trưng Tây (Quận 2 cũ),41.36,81.0,2,2
Nam,Hợp đồng mua bán,Bình Trưng Tây,Hồ Chí Minh, Phường Bình Trưng Tây (Quận 2 cũ),40.74,81.0,2,2
Nam,Hợp đồng mua bán,Bình Trưng Tây,Hồ Chí Minh, Phường Bình Trưng Tây (Quận 2 cũ),42.67,75.0,2,2
Bắc,Hợp đồng mua bán,Bình Trưng Tây,Hồ Chí Minh, Phường Bình Trưng Tây (Quận 2 cũ),44.74,95.0,3,2
Nam,Hợp đồng mua bán,Bình Trưng Tây,Hồ Chí Minh, Phường Bình Trưng Tây (Quận 2 cũ),40.74,81.0,2,2
Nam,Hợp đồng mua bán, Bến Vân Đồn,Hồ Chí Minh, Phường Cầu Ông Lãnh,55.26,38.0,1,1
Tây,Sổ hồng riêng,Phố Hào Nam,Hà Nội, Phường Ô Chợ Dừa,120.0,40.0,1,1
Đông Bắc,Sổ hồng riêng,Văn Phú,Hà Nội, Phường Phú La,52.59,58.0,2,2
Tây Nam,Sổ hồng riêng,D6,Hồ Chí Minh, Phường Bình Chiểu (Quận Thủ Đức cũ),30.0,70.0,2,2
Đông Nam,Sổ hồng riêng,D6,Hồ Chí Minh, Phường Bình Chiểu (Quận Thủ Đức cũ),30.71,70.0,2,2
Nam,Sổ hồng riêng,Đường số 23,Hồ Chí Minh, Phường 11,28.57,63.0,2,0
Tây Bắc,Hợp đồng mua bán,Trịnh Quang Nghị,Hồ Chí Minh, Phường 7,32.94,51.0,2,1
Đông Bắc,Sổ hồng riêng,Nguyễn Xiển,Hồ Chí Minh, Phường Long Thạnh Mỹ (Quận 9 cũ),45.35,43.0,1,1
Bắc,Sổ hồng riêng,D1,Hồ Chí Minh, Phường Tân Hưng,66.12,219.3,3,3
Tây,Sổ hồng riêng, Hà Nội,Hà Nội, Phường Phúc La,38.22,62.7999,2,2
Tây Nam,Sổ hồng riêng,Nguyễn Văn Linh,Hồ Chí Minh, Xã Bình Hưng,46.7,91.0,3,2
Đông Nam,Đang chờ sổ,Tôn Đức Thắng,Hồ Chí Minh, Phường Bến Nghé,125.71,70.0,2,2
Đông Bắc,Đang chờ sổ,Lương Định Của,Hồ Chí Minh, Phường An Khánh (Quận 2 cũ),48.54,103.0,3,2
Nam,Sổ hồng riêng,Ngõ 75 Trần Quang Diệu,Hà Nội, Phường Quang Trung,16.67,36.0,2,1
Đông Bắc,Đang chờ sổ,Tây Mỗ,Hà Nội, Phường Phú La,59.09,55.0,2,1
