house_direction,property_legal_document,Đường,Tỉnh,Phường,price_per_m2,area,bedroom,toilet
Tây,Sổ hồng riêng,Phố Minh Khai,Hà Nội, Phường Minh Khai,12.0,50.0,2,1
Tây,Sổ hồng riêng,giải phóng,Hà Nội, Phường Giáp Bát,10.71,56.0,2,1
Tây Bắc,Hợp đồng mua bán, N1,Hồ Chí Minh, Phường Sơn Kỳ,51.59,63.0,2,1
Tây Bắc,Hợp đồng mua bán, Âu Cơ,Hồ Chí Minh, Phường Tân Thành,37.5,104.0,3,2
Nam,Hợp đồng mua bán, Nguyễn Văn Linh,Hồ Chí Minh, Xã Phong Phú,25.82,55.0,2,2
Bắc,Hợp đồng mua bán, Nguyễn Văn Linh,Hồ Chí Minh, Xã Phong Phú,26.4,50.0,2,2
Nam,Sổ hồng riêng, Xuân Tảo,Hà Nội, Phường Xuân Tảo,72.41,87.0,2,2
Tây Bắc,Sổ hồng riêng,Xa Lộ Đại Hàn,Hồ Chí Minh, Phường Tam Bình (Quận Thủ Đức cũ),26.84,38.0,1,1
Tây Bắc,Sổ hồng riêng,Xa Lộ Đại Hàn,Hồ Chí Minh, Phường Tam Bình (Quận Thủ Đức cũ),28.38,37.0,1,1
Tây Bắc,Đang chờ sổ, Đường Nguyễn Văn Linh,Hồ Chí Minh, Phường Tân Thuận Tây,54.0,60.0,2,2
Tây,Sổ hồng riêng, Đường số 7,Hồ Chí Minh, Phường An Lạc A,52.78,54.0,2,1
Đông Nam,Đang chờ sổ,Tân Túc,Hồ Chí Minh, Thị trấn Tân Túc,35.59,59.0,2,2
Đông Nam,Hợp đồng mua bán, Bến Vân Đồn,Hồ Chí Minh, Phường 1,53.66,93.0,2,2
Tây Bắc,Hợp đồng mua bán, Bến Vân Đồn,Hồ Chí Minh, Phường 1,54.78,69.0,2,1
Tây Nam,Sổ hồng riêng,Đại Mỗ,Hà Nội, Phường Tây Mỗ,55.59,30.3999,1,1
Đông Bắc,Sổ hồng riêng,Nguyễn Hữu Thọ,Hồ Chí Minh, Phường Tân Hưng,57.73,97.0,2,2
Đông Bắc,Sổ hồng riêng,Nguyễn Hữu Thọ,Hồ Chí Minh, Phường Tân Hưng,57.73,97.0,2,2
Tây Nam,Sổ hồng riêng,Nguyễn Hữu Thọ,Hồ Chí Minh, Phường Tân Hưng,50.4,124.0,3,2
Nam,Sổ hồng riêng,xã đàn,Hà Nội, Phường Ô Chợ Dừa,12.0,50.0,2,1
Nam,Sổ hồng riêng,CỰ LỘC,Hà Nội, Phường Nhân Chính,12.0,50.0,2,1
Đông Bắc,Sổ hồng riêng,Nguyễn Hữu Thọ,Hồ Chí Minh, Phường Tân Hưng,55.56,108.0,3,2
Tây Bắc,Đang chờ sổ, Võ Văn Kiệt,Hồ Chí Minh, Phường 3,38.57,105.0,3,2
Đông Nam,Sổ hồng riêng,Nguyễn Hữu Thọ,Hồ Chí Minh, Phường Tân Hưng,47.58,124.0,3,2
Nam,Sổ hồng riêng,Chu Văn An,Hồ Chí Minh, Phường 12,31.91,141.0,3,2
Tây Bắc,Hợp đồng mua bán, Đường Lê Văn Lương,Hồ Chí Minh, Xã Nhơn Đức,42.86,70.0,2,2
Tây Bắc,Sổ hồng riêng,Trịnh Quang Nghị,Hồ Chí Minh, Xã Phong Phú,32.69,52.0,1,1
Tây Nam,Hợp đồng mua bán, Âu Cơ,Hồ Chí Minh, Phường Tân Thành,37.26,106.0,3,2
Tây Bắc,Hợp đồng mua bán,Tân Túc,Hồ Chí Minh, Thị trấn Tân Túc,39.86,69.0,2,2
Nam,Sổ hồng riêng,Đường Số 32,Hồ Chí Minh, Phường Bình Trị Đông B,19.61,51.0,2,2
Đông Nam,Đang chờ sổ,Nguyễn Hữu Thọ,Hồ Chí Minh, Phường Tân Hưng,43.54,147.0,3,2
Đông Nam,Đang chờ sổ,Nguyễn Hữu Thọ,Hồ Chí Minh, Phường Tân Hưng,43.54,147.0,3,2
Tây Bắc,Đang chờ sổ,Nguyễn Hữu Thọ,Hồ Chí Minh, Phường Tân Hưng,55.26,76.0,2,2
Đông Nam,Hợp đồng mua bán,Tân Túc,Hồ Chí Minh, Thị trấn Tân Túc,33.9,59.0,2,2
Đông,Hợp đồng mua bán, Lý Chiêu Hoàng,Hồ Chí Minh, Phường 10,34.62,65.0,2,2
Đông Bắc,Đang chờ sổ,Mỹ Đình,Hồ Chí Minh, Phường Cầu Kho,102.59,116.0,3,2
Tây Bắc,Sổ hồng riêng,Yên Viên,Hà Nội, Thị trấn Trâu Quỳ,34.27,70.0,2,2
Nam,Sổ hồng riêng, Đường Hùng Vương,Hồ Chí Minh, Phường 9,44.44,72.0,7,2
Đông Bắc,Đang chờ sổ, Tôn Thất Thuyết,Hồ Chí Minh, Phường 18,78.95,76.0,2,2
Tây Bắc,Sổ hồng riêng, 799 Đường Nguyễn Văn Linh,Hồ Chí Minh, Phường Tân Phú,65.87,126.0,3,2
Bắc,Sổ hồng riêng, Minh Khai,Hà Nội, Phường Minh Khai,43.75,80.0,2,1
Tây Nam,Sổ hồng riêng,Đường số 19,Hồ Chí Minh, Phường An Phú (Quận 2 cũ),46.67,90.0,2,2
Đông Bắc,Đang chờ sổ,Đường Số 4,Hồ Chí Minh, Phường An Phú (Quận 2 cũ),38.18,110.0,3,2
Tây Nam,Sổ hồng riêng,Đường số 19,Hồ Chí Minh, Phường An Phú (Quận 2 cũ),41.54,195.0,4,4
Nam,Sổ hồng riêng, Huỳnh Tấn Phát,Hồ Chí Minh, Phường Bình Thuận,37.65,85.0,3,2
Nam,Đang chờ sổ, Lê Văn Khương,Hồ Chí Minh, Phường Thới An,25.33,75.0,2,2
Tây,Sổ hồng riêng,11,Hồ Chí Minh, Phường 11,39.53,86.0,2,2
Đông,Sổ hồng riêng,Nguyễn Hữu Thọ,Hồ Chí Minh, Xã Phước Kiển,26.19,126.0,3,2
Đông Bắc,Sổ hồng riêng,Nguyễn Ngọc Vũ,Hà Nội, Phường Trung Hoà,51.88,80.0,3,2
Bắc,Sổ hồng riêng,15B,Hồ Chí Minh, Phường Phú Mỹ,29.1,67.0,2,2
Đông,Đang chờ sổ, Lê Thị Riêng,Hồ Chí Minh, Phường Thới An,17.86,70.0,2,1
Tây,Sổ hồng riêng,Phố Tân Mai,Hà Nội, Phường Tân Mai,13.26,46.0,2,1
Nam,Sổ hồng riêng,Phố Thái Hà,Hà Nội, Phường Láng Hạ,10.73,55.0,2,1
Tây Nam,Sổ hồng riêng,Nguyễn Xiển,Hồ Chí Minh, Phường Long Thạnh Mỹ (Quận 9 cũ),45.67,30.0,1,1
Tây,Hợp đồng mua bán, N1,Hồ Chí Minh, Phường Sơn Kỳ,55.77,104.0,3,2
Bắc,Sổ hồng riêng,Nguyễn Hữu Thọ,Hồ Chí Minh, Phường Tân Hưng,46.6,147.0,3,3
Đông,Hợp đồng mua bán, Đường Hồng Hà,Hồ Chí Minh, Phường 9,61.11,36.0,1,1
Đông Bắc,Sổ hồng riêng,Phạm Thế Hiển,Hồ Chí Minh, Phường 7,24.1,74.6998,2,1
Bắc,Sổ hồng riêng,Tòa CT9,Hà Nội, Phường Định Công,44.38,80.0,2,2
Đông,Sổ hồng riêng,Nguyễn Văn Công,Hồ Chí Minh, Phường 3,45.28,106.0,3,2
Đông Nam,Đang chờ sổ, Tp.HCM,Hồ Chí Minh, Phường 14,28.91,64.0,2,2
Bắc,Sổ hồng riêng, Đường Lương Nhữ Học,Hồ Chí Minh, Phường 11,29.63,81.0,3,1
Nam,Sổ hồng riêng, Hoàng Hoa Thám,Hồ Chí Minh, Phường 13,57.5,60.0,2,2
Đông Nam,Hợp đồng mua bán,Đường Nguyễn Duy Trinh,Hà Nội, Phường Hoàng Liệt,36.42,90.5998,3,2
Đông Nam,Sổ hồng riêng,Tân Vĩnh,Hồ Chí Minh, Phường 6,44.19,86.0,2,2
Bắc,Sổ hồng riêng,Đường cao tốc Vành đai 3,Hà Nội, Phường Hoàng Liệt,48.53,68.0,2,2
Tây Bắc,Hợp đồng mua bán,Đường Mai Chí Thọ,Hồ Chí Minh, Phường An Phú (Quận 2 cũ),125.52,71.6997,2,2
Nam,Hợp đồng mua bán,Đường N1,Hồ Chí Minh, Phường Sơn Kỳ,66.26,343.5,6,6
Tây Bắc,Sổ hồng riêng,Phố Kiến Hưng,Hà Nội, Phường Kiến Hưng,36.96,69.0,2,2
Bắc,Hợp đồng mua bán, N1,Hồ Chí Minh, Phường Sơn Kỳ,84.95,335.5,1,2
Bắc,Hợp đồng mua bán, N1,Hồ Chí Minh, Phường Sơn Kỳ,84.95,335.5,1,2
Tây Nam,Sổ hồng riêng, Nguyễn Trãi,Hà Nội, Phường Thanh Xuân Trung,59.86,142.0,4,3
Đông Bắc,Sổ hồng riêng, Đường Chiêu Anh Các,Hồ Chí Minh, Phường 5,30.61,98.0,2,2
Tây Bắc,Hợp đồng mua bán,Nguyễn Hữu Thọ,Hồ Chí Minh, Xã Phước Kiển,47.89,71.0,2,2
Tây Nam,Sổ hồng riêng,Xa Lộ Hà Nội,Hồ Chí Minh, Phường Thảo Điền (Quận 2 cũ),77.42,93.0,3,2
Đông Nam,Sổ hồng riêng,xã đàn,Hà Nội, Phường Ô Chợ Dừa,12.73,55.0,2,2
Đông Nam,Sổ hồng riêng,Kim Đồng,Hà Nội, Phường Giáp Bát,12.07,58.0,2,2
Tây Nam,Sổ hồng riêng,Phố Bạch Mai,Hà Nội, Phường Bạch Mai,12.73,55.0,2,2
Đông Nam,Sổ hồng riêng,Đường Lạc Long Quân,Hà Nội, Phường Phú Thượng,12.73,55.0,2,1
Tây,Sổ hồng riêng,Đường Nguyễn Trãi,Hà Nội, Phường Thượng Đình,11.09,55.0,2,1
Bắc,Sổ hồng riêng,Phố Khâm Thiên,Hà Nội, Phường Khâm Thiên,10.55,55.0,2,1
Tây,Đang chờ sổ, Thành phố Hồ Chí Minh,Hồ Chí Minh, Phường 16,30.28,71.0,2,2
Đông Nam,Hợp đồng mua bán,Nguyễn Xiển,Hồ Chí Minh, Phường Long Thạnh Mỹ (Quận 9 cũ),42.86,91.0,3,2
Đông Nam,Đang chờ sổ, Nguyễn Văn Linh,Hồ Chí Minh, Xã Bình Hưng,20.45,67.0,2,1
Tây Bắc,Sổ hồng riêng,Yên Viên,Hà Nội, Thị trấn Trâu Quỳ,31.65,60.0,2,1
Tây Bắc,Đang chờ sổ, Đường 32,Hồ Chí Minh, Phường Bình Trị Đông B,19.61,51.0,1,1
Tây Nam,Sổ hồng riêng,Xa Lộ Hà Nội,Hồ Chí Minh, Phường Thảo Điền (Quận 2 cũ),77.14,70.0,2,2
Tây Nam,Sổ hồng riêng,Xa Lộ Hà Nội,Hồ Chí Minh, Phường Thảo Điền (Quận 2 cũ),77.14,70.0,2,2
Đông,Sổ hồng riêng,Nguyễn Hữu Thọ,Hồ Chí Minh, Phường Tân Hưng,76.56,640.0,5,5
Bắc,Đang chờ sổ, Phố Nguyên Hồng,Hà Nội, Phường Phú Thượng,122.81,57.0,2,2
Tây Nam,Sổ hồng riêng,Yên Viên,Hà Nội, Thị trấn Trâu Quỳ,29.98,60.0,2,1
Đông Bắc,Đang chờ sổ,Đại Mỗ,Hà Nội, Phường Đại Mỗ,36.55,65.66,2,2
Tây Bắc,Sổ hồng riêng,Phùng Hưng,Hà Nội, Phường Phúc La,32.29,48.0,2,1
Tây Nam,Đang chờ sổ,Tạ Quang Bửu,Hồ Chí Minh, Phường 5,49.32,73.0,2,2
Nam,Sổ hồng riêng,Đường Số 1,Hồ Chí Minh, Xã Bình Hưng,41.96,56.0,2,1
Đông Nam,Đang chờ sổ, N1,Hồ Chí Minh, Phường Sơn Kỳ,50.79,63.5998,2,1
Đông,Sổ hồng riêng, Minh Khai,Hà Nội, Phường Vĩnh Tuy,67.47,83.0,2,2
Đông Bắc,Hợp đồng mua bán,Tôn Đức Thắng,Hồ Chí Minh, Phường Bến Nghé,289.16,166.0,3,3
Đông Bắc,Hợp đồng mua bán, Nguyễn Văn Linh,Hồ Chí Minh, Xã Phong Phú,24.36,78.0,3,3
Tây Bắc,Đang chờ sổ, Đào Trí,Hồ Chí Minh, Phường Phú Thuận,39.38,53.3199,1,0
Tây Nam,Sổ hồng riêng,Lê Văn Lương,Hà Nội, Phường Nhân Chính,65.24,82.0,3,2
Đông Nam,Sổ hồng riêng,Trịnh Quang Nghị,Hồ Chí Minh, Xã Phong Phú,28.75,80.0,3,2
Đông Bắc,Sổ hồng riêng, Nguyễn Lương Bằng,Hồ Chí Minh, Xã Phú Xuân,24.61,76.0,2,2
Tây Nam,Hợp đồng mua bán,Linh Đường,Hà Nội, Phường Hoàng Liệt,33.75,80.0,3,2
Tây Bắc,Sổ hồng riêng,Phú Hữu,Hồ Chí Minh, Phường Phú Hữu (Quận 9 cũ),32.17,46.0,1,1
Đông Nam,Hợp đồng mua bán, TP HCM.,Hồ Chí Minh, Phường Long Thạnh Mỹ (Quận 9 cũ),49.03,46.2999,1,1
Tây Bắc,Hợp đồng mua bán,Nguyễn Xiển,Hồ Chí Minh, Phường Long Thạnh Mỹ (Quận 9 cũ),41.15,67.8,2,0
Đông Nam,Hợp đồng mua bán, TP HCM.,Hồ Chí Minh, Phường Long Thạnh Mỹ (Quận 9 cũ),49.03,46.2999,1,1
Đông Bắc,Sổ hồng riêng, Nguyễn Lương Bằng,Hồ Chí Minh, Xã Phú Xuân,24.03,77.0,2,2
Nam,Hợp đồng mua bán,Nguyễn Hữu Thọ,Hồ Chí Minh, Xã Phước Kiển,66.0,30.0,1,1
Đông,Đang chờ sổ,Xuân La,Hà Nội, Phường Xuân La,11.82,55.0,2,1
Đông Bắc,Hợp đồng mua bán, Huỳnh Tấn Phát,Hồ Chí Minh, Thị trấn Nhà Bè,21.05,57.0,1,1
Nam,Hợp đồng mua bán,Nguyễn Xiển,Hồ Chí Minh, Phường Long Thạnh Mỹ (Quận 9 cũ),55.93,59.0,2,2
Bắc,Đang chờ sổ,Xa Lộ Hà Nội,Hồ Chí Minh, Phường An Phú (Quận 2 cũ),103.85,52.0,1,1
Tây Bắc,Đang chờ sổ,Trịnh Quang Nghị,Hồ Chí Minh, Xã Phong Phú,30.77,65.0,2,2
Tây Bắc,Sổ hồng riêng, Lý Thường Kiệt,Hồ Chí Minh, Phường 15,41.67,90.0,3,2
Đông Nam,Hợp đồng mua bán,Ngọc Thụy,Hà Nội, Phường Thượng Thanh,55.847,89.5298,2,2
Tây Nam,Sổ hồng riêng, Nguyễn Lương Bằng,Hồ Chí Minh, Xã Phú Xuân,25.69,72.0,2,2
Đông Nam,Sổ hồng riêng,Nguyễn Xiển,Hồ Chí Minh, Phường Long Thạnh Mỹ (Quận 9 cũ),41.67,72.0,2,0
Đông Bắc,Hợp đồng mua bán, Nguyễn Văn Linh,Hồ Chí Minh, Xã Phong Phú,26.2,50.0,1,2
Đông Nam,Đang chờ sổ,Đường Nguyễn Hữu Cảnh,Hồ Chí Minh, Phường 22,73.33,45.0,1,1
Tây Nam,Sổ hồng riêng, Nguyễn Lương Bằng,Hồ Chí Minh, Xã Phú Xuân,24.61,76.0,2,2
Tây Bắc,Sổ hồng riêng,Tên Lửa,Hồ Chí Minh, Phường Bình Trị Đông B,30.16,63.0,2,1
Tây Nam,Hợp đồng mua bán, N1,Hồ Chí Minh, Phường Sơn Kỳ,51.18,85.0,2,0
Đông Nam,Sổ hồng riêng,17,Hồ Chí Minh, Phường Hiệp Bình Chánh (Quận Thủ Đức cũ),30.95,210.0,4,3
Đông,Sổ hồng riêng,Đại Mỗ,Hà Nội, Phường Tây Mỗ,65.2,25.0,1,1
Tây,Sổ hồng riêng, Hồ Tùng Mậu,Hà Nội, Phường Phú Diễn,54.49,78.0,2,2
Đông Nam,Hợp đồng mua bán, N1,Hồ Chí Minh, Phường Sơn Kỳ,62.26,53.0,1,1
Bắc,Sổ hồng riêng, Cổ Nhuế 1,Hà Nội, Phường Cổ Nhuế 1,60.0,90.0,3,2
Đông Nam,Sổ hồng riêng, Nguyễn Thị Định,Hồ Chí Minh, Phường An Phú (Quận 2 cũ),50.0,70.0,3,2
Đông Nam,Sổ hồng riêng, Nguyễn Hữu Cảnh,Hồ Chí Minh, Phường 22,80.0,100.0,2,2
Nam,Sổ hồng riêng,Đường 54A,Hồ Chí Minh, Phường Tân Tạo,30.2,71.1998,2,2
Nam,Sổ hồng riêng,Đường Tạ Quang Bửu,Hồ Chí Minh, Phường 5,29.21,315.0,4,5
Tây,Sổ hồng riêng,Đường Nhân Mỹ,Hà Nội, Phường Mỹ Đình 1,42.593,108.0,3,2
Tây Nam,Sổ hồng riêng,Nguyễn Hữu Thọ,Hồ Chí Minh, Phường Tân Hưng,46.6,147.0,3,2
Đông Nam,Sổ hồng riêng, Đường Biển Hồ,Hà Nội, Xã Đa Tốn,40.63,48.0,1,0
Tây Nam,Sổ hồng riêng,Đường Nguyễn Hữu Hào,Hồ Chí Minh, Phường 9,47.58,62.0,2,2
Tây Nam,Hợp đồng mua bán,Linh Đường,Hà Nội, Phường Hoàng Liệt,32.29,48.0,2,0
Đông Nam,Sổ hồng riêng,Nguyễn Xiển,Hồ Chí Minh, Phường Long Thạnh Mỹ (Quận 9 cũ),39.82,67.8,2,2
Tây,Sổ hồng riêng,Đại Mỗ,Hà Nội, Phường Tây Mỗ,52.38,63.0,2,2
Đông Bắc,Sổ hồng riêng, Nguyễn Xiển,Hồ Chí Minh, Phường Long Thạnh Mỹ (Quận 9 cũ),39.13,69.0,2,2
Nam,Sổ hồng riêng, Đường Phạm Hùng,Hồ Chí Minh, Xã Bình Hưng,29.59,49.0,1,1
Đông,Hợp đồng mua bán,Linh Đường,Hà Nội, Phường Hoàng Liệt,34.91,70.3199,2,2
Tây Bắc,Sổ hồng riêng, Giang Biên,Hà Nội, Phường Giang Biên,44.87,78.0,2,2
Đông Nam,Sổ hồng riêng,Nguyễn Văn Linh,Hồ Chí Minh, Xã Phong Phú,28.84,86.0,2,2
Nam,Sổ hồng riêng,Phố Trung Liệt,Hà Nội, Phường Trung Liệt,13.33,45.0,2,1
Đông Nam,Sổ hồng riêng,Đại Mỗ,Hà Nội, Phường Tây Mỗ,44.92,118.0,4,4
Đông,Sổ hồng riêng,Đường Lý Thường Kiệt,Hồ Chí Minh, Phường 7,41.07,36.52,3,1
Tây Bắc,Sổ hồng riêng,D6,Hồ Chí Minh, Phường Bình Chiểu (Quận Thủ Đức cũ),33.32,60.0,2,1
Tây Bắc,Sổ hồng riêng,D6,Hồ Chí Minh, Phường Bình Chiểu (Quận Thủ Đức cũ),33.3,60.0,2,1
Đông Nam,Sổ hồng riêng,Phố Chùa Bộc,Hà Nội, Phường Quang Trung,44.38,80.0,2,1
Tây Bắc,Hợp đồng mua bán,Nguyễn Văn Linh,Hồ Chí Minh, Phường 7,24.37,57.0,2,2
Tây Nam,Sổ hồng riêng, Ngụy Như Kon Tum,Hà Nội, Phường Nhân Chính,65.0,89.0,2,2
Đông Bắc,Sổ hồng riêng, Mặt Đường Nguyễn Xiển ,Hà Nội, Phường Đại Kim,678.808,60.4,2,1
Bắc,Sổ hồng riêng, 18 Đường Phan Văn Trị,Hồ Chí Minh, Phường 10,52.55,98.0,3,2
Tây Nam,Hợp đồng mua bán,Đường Phước Thiện,Hồ Chí Minh, Phường Long Thạnh Mỹ (Quận 9 cũ),45.33,101.0,3,2
Đông Bắc,Hợp đồng mua bán,Hoàng Liệt,Hà Nội, Phường Hoàng Liệt,33.64,66.0,2,2
Bắc,Sổ hồng riêng,Đường Số 5,Hồ Chí Minh, Phường Bình Hưng Hòa,29.05,63.0,2,2
Tây Bắc,Sổ hồng riêng,Tân Mai,Hà Nội, Phường Tân Mai,57.06,85.0,3,2
Đông Bắc,Sổ hồng riêng,Đường Cách Mạng Tháng 8,Hồ Chí Minh, Phường 11,45.01,82.1999,2,2
Bắc,Hợp đồng mua bán, Lê tấn bê ,Hồ Chí Minh, Phường An Lạc,22.0,35.0,1,1
Tây Nam,Sổ hồng riêng,Đường Thái Thuận,Hồ Chí Minh, Phường An Phú (Quận 2 cũ),39.64,140.0,3,2
Đông Bắc,Sổ hồng riêng,Đường số 19,Hồ Chí Minh, Phường An Phú (Quận 2 cũ),43.87,106.0,3,2
Tây Bắc,Hợp đồng mua bán,Nguyễn Xiển,Hồ Chí Minh, Phường Long Thạnh Mỹ (Quận 9 cũ),40.68,59.0,2,2
Tây,Sổ hồng riêng, 37 Đường Huỳnh Thiện Lộc,Hồ Chí Minh, Phường Hòa Thạnh,36.46,79.0,2,2
Tây Bắc,Sổ hồng riêng,Vũ Tông Phan,Hồ Chí Minh, Phường An Phú (Quận 2 cũ),37.1,62.0,2,1
Bắc,Hợp đồng mua bán,Phố Trịnh Văn Bô,Hà Nội, Phường Phương Canh,30.83,60.0,2,1
Đông Nam,Hợp đồng mua bán,Ngõ 96 Đê La Thành,Hà Nội, Phường Phương Liên,35.0,50.0,2,1
Tây Nam,Hợp đồng mua bán,Nguyễn Hữu Thọ,Hồ Chí Minh, Xã Phước Kiển,40.0,60.0,2,1
Tây Bắc,Sổ hồng riêng, Đường Tháp Mười,Hồ Chí Minh, Phường 2,30.47,64.0,1,1
Đông Nam,Sổ hồng riêng,HOÀNG HOA THÁM,Hà Nội, Phường Ngọc Hà,12.73,55.0,2,2
Đông Bắc,Hợp đồng mua bán, TP.HCM,Hồ Chí Minh, Phường 6,44.12,68.0,2,2
Nam,Sổ hồng riêng,Đường Nguyễn Xiển,Hà Nội, Phường Đại Kim,40.52,54.2999,2,2
Đông Nam,Hợp đồng mua bán,Nguyễn Xiển,Hồ Chí Minh, Phường Long Thạnh Mỹ (Quận 9 cũ),48.53,54.5999,2,2
Tây Nam,Sổ hồng riêng,Đại Mỗ,Hà Nội, Phường Tây Mỗ,55.94,32.0,1,1
Tây Bắc,Sổ hồng riêng,Xa Lộ Hà Nội,Hồ Chí Minh, Phường Thảo Điền (Quận 2 cũ),86.76,68.0,2,2
Đông Nam,Hợp đồng mua bán, N1,Hồ Chí Minh, Phường Sơn Kỳ,55.88,85.0,2,2
Tây Bắc,Sổ hồng riêng,Đường Phạm Hùng,Hồ Chí Minh, Phường 5,36.73,49.0,1,1
Bắc,Đang chờ sổ,Đường Nguyễn Duy Trinh,Hồ Chí Minh, Phường Bình Trưng Đông (Quận 2 cũ),46.91,81.0,2,2
Tây Nam,Sổ hồng riêng,Đại Mỗ,Hà Nội, Phường Tây Mỗ,55.59,30.3999,1,1
Đông Bắc,Sổ hồng riêng,Nguyễn Hữu Thọ,Hồ Chí Minh, Phường Tân Hưng,57.73,97.0,2,2
Tây Nam,Sổ hồng riêng,Nguyễn Hữu Thọ,Hồ Chí Minh, Phường Tân Hưng,50.4,124.0,3,2
Đông Nam,Hợp đồng mua bán, N1,Hồ Chí Minh, Phường Sơn Kỳ,62.5,112.0,2,2
Đông Nam,Sổ hồng riêng,Nguyễn Hữu Thọ,Hồ Chí Minh, Phường Tân Hưng,47.58,124.0,3,2
Đông Nam,Hợp đồng mua bán, N1,Hồ Chí Minh, Phường Sơn Kỳ,47.9,119.0,3,3
Nam,Sổ hồng riêng,Chu Văn An,Hồ Chí Minh, Phường 12,31.91,141.0,3,2
Đông Nam,Hợp đồng mua bán, N1,Hồ Chí Minh, Phường Sơn Kỳ,47.9,119.0,3,3
Nam,Sổ hồng riêng,Chu Văn An,Hồ Chí Minh, Phường 12,31.91,141.0,3,2
Tây Bắc,Hợp đồng mua bán, Đường Lê Văn Lương,Hồ Chí Minh, Xã Nhơn Đức,42.86,70.0,2,2
Tây Bắc,Sổ hồng riêng,Trịnh Quang Nghị,Hồ Chí Minh, Xã Phong Phú,32.69,52.0,1,1
Tây Nam,Hợp đồng mua bán, Âu Cơ,Hồ Chí Minh, Phường Tân Thành,37.26,106.0,3,2
Tây Bắc,Hợp đồng mua bán,Tân Túc,Hồ Chí Minh, Thị trấn Tân Túc,39.86,69.0,2,2
Nam,Sổ hồng riêng,Đường Số 32,Hồ Chí Minh, Phường Bình Trị Đông B,19.61,51.0,2,2
Đông Nam,Đang chờ sổ,Nguyễn Hữu Thọ,Hồ Chí Minh, Phường Tân Hưng,43.54,147.0,3,2
Tây Bắc,Đang chờ sổ,Nguyễn Hữu Thọ,Hồ Chí Minh, Phường Tân Hưng,55.26,76.0,2,2
Đông Nam,Hợp đồng mua bán,Tân Túc,Hồ Chí Minh, Thị trấn Tân Túc,33.9,59.0,2,2
Đông,Hợp đồng mua bán, Lý Chiêu Hoàng,Hồ Chí Minh, Phường 10,34.62,65.0,2,2
Đông Bắc,Đang chờ sổ,Mỹ Đình,Hồ Chí Minh, Phường Cầu Kho,102.59,116.0,3,2
Tây Bắc,Sổ hồng riêng,Yên Viên,Hà Nội, Thị trấn Trâu Quỳ,34.27,70.0,2,2
Nam,Sổ hồng riêng, Đường Hùng Vương,Hồ Chí Minh, Phường 9,44.44,72.0,7,2
Đông Bắc,Đang chờ sổ, Tôn Thất Thuyết,Hồ Chí Minh, Phường 18,78.95,76.0,2,2
Tây Bắc,Sổ hồng riêng, 799 Đường Nguyễn Văn Linh,Hồ Chí Minh, Phường Tân Phú,65.87,126.0,3,2
Bắc,Sổ hồng riêng, Minh Khai,Hà Nội, Phường Minh Khai,43.75,80.0,2,1
Tây Nam,Sổ hồng riêng,Đường số 19,Hồ Chí Minh, Phường An Phú (Quận 2 cũ),43.89,90.0,2,2
Đông Bắc,Đang chờ sổ,Đường Số 4,Hồ Chí Minh, Phường An Phú (Quận 2 cũ),38.18,110.0,3,2
Tây Nam,Sổ hồng riêng,Đường số 19,Hồ Chí Minh, Phường An Phú (Quận 2 cũ),41.54,195.0,4,4
Nam,Sổ hồng riêng, Huỳnh Tấn Phát,Hồ Chí Minh, Phường Bình Thuận,37.65,85.0,3,2
Nam,Đang chờ sổ, Lê Văn Khương,Hồ Chí Minh, Phường Thới An,25.33,75.0,2,2
Tây,Sổ hồng riêng,11,Hồ Chí Minh, Phường 11,39.53,86.0,2,2
Đông,Sổ hồng riêng,Nguyễn Hữu Thọ,Hồ Chí Minh, Xã Phước Kiển,26.19,126.0,3,2
Đông Bắc,Sổ hồng riêng,Nguyễn Ngọc Vũ,Hà Nội, Phường Trung Hoà,51.88,80.0,3,2
Bắc,Sổ hồng riêng,15B,Hồ Chí Minh, Phường Phú Mỹ,29.1,67.0,2,2
Tây Nam,Sổ hồng riêng,Yên Viên,Hà Nội, Thị trấn Trâu Quỳ,35.63,80.0,3,2
Đông,Đang chờ sổ, Lê Thị Riêng,Hồ Chí Minh, Phường Thới An,17.86,70.0,2,1
Tây,Sổ hồng riêng,Phố Tân Mai,Hà Nội, Phường Tân Mai,13.26,46.0,2,1
Nam,Sổ hồng riêng,Phố Thái Hà,Hà Nội, Phường Láng Hạ,10.73,55.0,2,1
Tây Nam,Sổ hồng riêng,Nguyễn Xiển,Hồ Chí Minh, Phường Long Thạnh Mỹ (Quận 9 cũ),45.67,30.0,1,1
Tây,Hợp đồng mua bán, N1,Hồ Chí Minh, Phường Sơn Kỳ,55.77,104.0,3,2
Bắc,Sổ hồng riêng,Nguyễn Hữu Thọ,Hồ Chí Minh, Phường Tân Hưng,46.6,147.0,3,3
Đông,Hợp đồng mua bán, Đường Hồng Hà,Hồ Chí Minh, Phường 9,61.11,36.0,1,1
Đông Bắc,Sổ hồng riêng,Phạm Thế Hiển,Hồ Chí Minh, Phường 7,24.1,74.6998,2,1
Bắc,Sổ hồng riêng,Tòa CT9,Hà Nội, Phường Định Công,44.38,80.0,2,2
Đông,Sổ hồng riêng,Nguyễn Văn Công,Hồ Chí Minh, Phường 3,45.28,106.0,3,2
Đông Nam,Đang chờ sổ, Tp.HCM,Hồ Chí Minh, Phường 14,28.91,64.0,2,2
